"YearCE" "Conflict" "Monuments" "Monuments_adj" "Cariaco_Rub_SST" "Cariaco_Bull_SST" "YokCave_d18O"
834 0 0 0 28.0659 27.8863 -3.545
835 0 4 4 28.0925 27.9284 -3.58
836 0 0 0 28.088 27.9704 -3.44
837 0 1 1 28.1268 28.0123 -3.48
838 0 0 0 28.2313 27.8925 -3.5
839 0 0 0 28.142 27.7128 -3.63
840 0 4 4 28.0619 27.53 -3.5
841 0 1 1 28.0578 27.3441 -3.77
842 0 0 0 28.055 27.2326 -3.65
843 0 0 0 28.0458 27.3374 -3.6
844 0 0 0 28.1918 27.4412 -3.525
845 0 0 0 28.4622 27.5439 -3.45
846 0 0 0 28.2534 27.6458 -3.535
847 0 0 0 28.0652 27.5531 -3.62
848 0 2 2 28.0878 27.4063 -3.54
849 0 12 12 28.0999 27.2575 -3.46
850 0 0 0 28.0998 27.1067 -3.405
851 0 0 0 28.0804 27.0589 -3.35
852 0 0 0 28.0574 27.2397 -3.45
853 0 0 0 28.0671 27.4176 -3.55
854 0 0 0 28.078 27.5926 -3.62
855 0 0 0 28.0891 27.7649 -3.69
856 0 0 0 28.0951 27.8401 -3.775
857 0 0 0 28.1027 27.8965 -3.86
858 0 1 1 28.1416 27.9526 -3.9
859 0 6 6 28.2131 28.0085 -3.94
860 0 0 0 28.281 27.9598 -3.92666666666667
861 0 0 0 28.3154 27.7241 -3.91333333333333
862 0 1 1 28.2888 27.4832 -3.9
863 0 0 0 28.3415 27.2369 -3.82
864 0 0 0 28.4017 26.9848 -3.74
865 0 1 1 28.4238 27.0059 -3.66
866 0 0 0 28.4331 27.0617 -3.58
867 0 0 0 28.4085 27.1173 -3.58333333333333
868 0 0 0 28.3535 27.1726 -3.58666666666667
869 0 5 5 28.1975 27.2625 -3.59
870 1 1 1 28.1902 27.4008 -3.615
871 0 0 0 28.2447 27.5374 -3.64
872 0 0 0 28.3742 27.6723 -3.76666666666667
873 0 2 2 28.3651 27.8055 -3.89333333333333
874 0 2 2 28.1334 27.924 -4.02
