YearCE,MgCaRub,SSTRub,MgCaBull,SSTBull      
414,4.8579,28.221,4.587,26.5766
415,4.7938,28.1277,4.6307,26.6797
416,4.7297,28.0024,4.6745,26.7818
417,4.6882,28.0061,4.6124,26.6367
418,4.6498,28.0736,4.5351,26.4528
419,4.6115,28.0879,4.4577,26.2658
420,4.6501,28.0653,4.5348,26.452
421,4.6972,28.0719,4.6289,26.6754
422,4.7442,28.1967,4.7231,26.8943
423,4.8189,28.3369,4.8422,27.165
424,4.8957,28.3066,4.9633,27.4335
425,4.9725,28.2425,5.0843,27.6955
426,4.9196,28.4126,5.2375,28.018
427,4.8603,28.532,5.3922,28.3344
428,4.8011,28.5402,5.5469,28.6419
429,4.6206,28.4492,5.4313,28.4131
430,4.4377,28.2273,5.3103,28.168
431,4.2565,27.9376,5.1891,27.9172
432,4.3424,27.8738,5.058,27.6389
433,4.4282,28.0204,4.9268,27.3533
434,4.5114,28.2508,4.8045,27.08
435,4.5171,28.1632,4.939,27.3802
436,4.5228,28.1087,5.0735,27.6723
437,4.5366,28.0867,5.1871,27.9129
438,4.6757,28.1111,4.9718,27.4522
439,4.8149,28.1846,4.7566,26.9712
440,4.9368,28.3017,4.5784,26.556
441,4.8756,28.2606,4.7902,27.0478
442,4.8144,28.1045,5.0021,27.5182
443,4.7546,28.0074,5.1759,27.8894
444,4.7055,28.0126,5.0515,27.6249
445,4.6564,28.0245,4.927,27.3538
446,4.6073,28.1116,4.8106,27.0938
447,4.5582,28.2082,4.7433,26.9408
448,4.5091,28.2,4.6761,26.7855
449,4.4562,28.153,4.6346,26.6887
450,4.3839,28.0789,4.722,26.8919
451,4.3115,27.9797,4.8095,27.0913
452,4.2862,27.9685,4.8839,27.2582
453,4.4567,28.2057,4.9041,27.3031
454,4.6273,28.4074,4.9243,27.3477
455,4.7636,28.2545,4.9259,27.3514
456,4.7784,28.0567,4.862,27.2095
457,4.7933,28.071,4.7981,27.0657
458,4.8389,28.1391,4.75,26.9561
459,4.9787,28.1632,4.75,26.9561
460,5.1185,28.1174,4.75,26.9561
461,5.1817,28.0939,4.761,26.9813
462,5.0414,28.0976,4.8014,27.073
463,4.901,28.0786,4.8417,27.164
464,4.8483,28.044,4.8738,27.2357
465,5,28.0806,4.8863,27.2636
466,5.1517,28.1018,4.8989,27.2915
467,5.229,28.105,4.9068,27.3091
468,5.1532,28.1546,4.9053,27.3058
469,5.0774,28.2819,4.9038,27.3025
470,5.0016,28.2339,4.9023,27.2992
471,4.9258,27.997,4.9008,27.2958
472,4.85,27.8618,4.8993,27.2925
473,4.7741,27.884,4.8283,27.1338
474,4.6983,27.9206,4.6439,26.7105
475,4.6225,27.8507,4.4594,26.27
476,4.5809,27.7994,4.391,26.1019
477,4.5891,27.8772,4.4919,26.3489
478,4.5973,27.9948,4.5928,26.5903
479,4.6055,28.0128,4.6704,26.7724
480,4.6137,27.9237,4.7175,26.8814
481,4.6219,27.8403,4.7646,26.9894
482,4.658,27.8239,4.8488,27.1798
483,4.7267,27.8194,4.9766,27.4626
484,4.7954,27.8061,5.1044,27.7382
485,4.8273,27.7848,5.1144,27.7596
486,4.8204,27.7759,5.0002,27.5141
487,4.8135,27.7728,4.886,27.263
488,4.8066,27.7882,4.7718,27.0059
489,4.7997,27.8242,4.6576,26.7426
490,4.7909,27.8481,4.6591,26.7461
491,4.7819,27.8278,4.6689,26.7689
492,4.7729,27.8085,4.6787,26.7917
493,4.7639,27.8096,4.6885,26.8144
494,4.7549,27.8099,4.6983,26.837
495,4.7459,27.825,4.708,26.8596
496,4.7305,27.8432,4.7705,27.0029
497,4.7135,27.8435,4.8461,27.1739
498,4.6965,27.8292,4.9218,27.3422
499,4.6795,27.8466,4.9974,27.5079
500,4.6625,27.9421,5.073,27.6712
501,4.6455,27.981,5.1486,27.832
502,4.7149,27.9602,5.1723,27.8818
503,4.8275,28.0017,5.1699,27.8768
504,4.94,28.1103,5.1675,27.8718
505,5.0526,28.1135,5.1651,27.8668
506,5.1651,28.0226,5.1628,27.8618
507,5.2777,28.0665,5.1604,27.8568
508,5.3421,28.1195,5.1228,27.7774
509,5.3645,28.1975,5.0545,27.6313
510,5.3869,28.2589,4.9861,27.4833
511,5.4093,28.1885,4.9177,27.3333
512,5.4317,28.1402,4.8494,27.1811
513,5.4541,28.2662,4.781,27.0268
514,5.4259,28.3198,4.7563,26.9705
515,5.3219,28.1543,4.7971,27.0632
516,5.2179,28.0252,4.8378,27.1552
517,5.1139,28.0221,4.8786,27.2464
518,5.0099,28.0011,4.9193,27.3369
519,4.9059,27.9684,4.9601,27.4265
520,4.825,27.9216,4.9778,27.4653
521,4.8077,27.8875,4.9322,27.3652
522,4.7904,27.912,4.8865,27.2641
523,4.7731,27.9578,4.8409,27.1621
524,4.7558,27.973,4.7952,27.0591
525,4.7385,27.9739,4.7496,26.9551
526,4.7211,27.8916,4.7069,26.857
527,4.7038,27.8189,4.6838,26.8034
528,4.6865,27.9056,4.6606,26.7496
529,4.6692,27.9522,4.6375,26.6955
530,4.6519,27.9252,4.6143,26.6411
531,4.6346,27.9122,4.5912,26.5864
532,4.6173,27.9172,4.568,26.5315
533,4.6261,27.9235,4.5667,26.5284
534,4.6349,27.9239,4.5654,26.5252
535,4.6436,27.9232,4.5641,26.5221
536,4.6524,27.9214,4.5628,26.519
537,4.6612,27.8977,4.5615,26.5159
538,4.67,27.8766,4.5602,26.5128
539,4.6787,27.9697,4.6448,26.7126
540,4.6875,28.036,4.7426,26.9392
541,4.6963,27.9114,4.8404,27.1611
542,4.7051,27.829,4.9383,27.3786
543,4.7138,27.8598,5.0361,27.5918
544,4.7226,27.9474,5.1339,27.8009
545,4.7553,28.0725,5.093,27.714
546,4.7966,28.1648,5.0017,27.5174
547,4.838,28.2381,4.9104,27.3171
548,4.8794,28.2021,4.8191,27.1131
549,4.9207,28.1298,4.7278,26.9052
550,4.9621,28.1249,4.6365,26.6933
551,4.9406,28.1078,4.6333,26.6856
552,4.8772,28.0556,4.6887,26.8149
553,4.8137,28.0031,4.7441,26.9426
554,4.7503,27.9756,4.7996,27.0689
555,4.6869,27.9469,4.855,27.1937
556,4.6234,27.9139,4.9104,27.3171
557,4.5916,27.9132,4.9134,27.3236
558,4.5957,27.9561,4.8563,27.1967
559,4.5998,27.9125,4.7992,27.0682
560,4.6039,27.8278,4.7422,26.9382
561,4.6081,27.9088,4.6851,26.8066
562,4.6122,28.0738,4.628,26.6734
563,4.625,27.9581,4.5895,26.5824
564,4.655,27.8256,4.5878,26.5785
565,4.6851,28.0395,4.5862,26.5746
566,4.7151,28.2431,4.5846,26.5708
567,4.7452,28.0917,4.5829,26.5669
568,4.7752,28.0161,4.5813,26.563
569,4.7961,27.9695,4.5807,26.5615
570,4.78,27.9653,4.5839,26.5692
571,4.7639,28.0766,4.5872,26.5769
572,4.7478,28.0329,4.5904,26.5847
573,4.7317,27.9017,4.5937,26.5924
574,4.7156,27.9564,4.597,26.6001
575,4.6995,28.0333,4.6036,26.6158
576,4.6834,28.0409,4.6574,26.7421
577,4.6673,28.0434,4.7112,26.8669
578,4.6512,28.0219,4.765,26.9903
579,4.6351,28.0152,4.8188,27.1124
580,4.6191,28.0426,4.8726,27.2331
581,4.603,28.0679,4.9264,27.3525
582,4.6335,28.1248,4.965,27.4373
583,4.6674,28.085,5.0025,27.519
584,4.7013,27.9829,5.04,27.6002
585,4.7352,28.0611,5.0775,27.6808
586,4.7691,28.2596,5.115,27.7608
587,4.803,28.3845,5.1525,27.8402
588,4.8369,28.4671,5.0948,27.7177
589,4.8708,28.3572,5.0133,27.5424
590,4.9047,28.2691,4.9317,27.3642
591,4.9386,28.2971,4.8502,27.183
592,4.9725,28.3129,4.7687,26.9988
593,5.0064,28.307,4.6872,26.8114
594,5.0403,28.3101,4.6622,26.7532
595,5.0742,28.3206,4.6654,26.7608
596,5.1081,28.3436,4.6687,26.7684
597,5.142,28.3712,4.672,26.776
598,5.1759,28.2825,4.6752,26.7836
599,5.2098,28.1675,4.6785,26.7912
600,5.1958,28.264,4.6904,26.8189
601,5.1398,28.3267,4.71,26.8642
602,5.0838,28.2177,4.7296,26.9092
603,5.0279,28.187,4.7491,26.9541
604,4.9719,28.2954,4.7687,26.9988
605,4.9159,28.3702,4.7883,27.0433
606,4.8634,28.3405,4.8137,27.1008
607,4.8162,28.1846,4.8479,27.1778
608,4.7689,28.0256,4.8821,27.2542
609,4.7216,28.0664,4.9163,27.3301
610,4.6744,28.1472,4.9505,27.4054
611,4.6271,28.006,4.9847,27.4803
612,4.5887,27.9286,5.0102,27.5358
613,4.5746,28.1914,5.0119,27.5394
614,4.5605,28.2974,5.0135,27.543
615,4.5464,28.1403,5.0152,27.5466
616,4.5324,28.0802,5.0169,27.5503
617,4.5183,28.092,5.0186,27.5539
618,4.5087,28.129,5.0174,27.5514
619,4.5287,28.1781,4.9978,27.5089
620,4.5487,28.2979,4.9783,27.4663
621,4.5686,28.461,4.9587,27.4234
622,4.5886,28.3286,4.9391,27.3805
623,4.6086,28.2429,4.9196,27.3373
624,4.6286,28.3314,4.9,27.294
625,4.7204,28.4173,4.8995,27.2928
626,4.8122,28.4443,4.8989,27.2916
627,4.904,28.5211,4.8984,27.2905
628,4.9959,28.6414,4.8979,27.2893
629,5.0877,28.5883,4.8973,27.2881
630,5.1795,28.423,4.8968,27.2869
631,5.1741,28.443,4.8602,27.2053
632,5.1537,28.4617,4.818,27.1106
633,5.1333,28.4589,4.7759,27.0151
634,5.113,28.4924,4.7337,26.9187
635,5.0926,28.5746,4.6915,26.8214
636,5.0722,28.5893,4.6494,26.7233
637,5.0486,28.5558,4.6443,26.7115
638,5.0238,28.5065,4.6528,26.7313
639,4.9991,28.443,4.6612,26.751
